
larastan:Larastan Analysis:vendor/bin/phpstan analyse --memory-limit=2G -c phpstan-laravel.neon:1
phpmd:PHP Mess Detector:vendor/bin/phpmd app,config,database,routes text cleancode,codesize,controversial,design,naming,unusedcode:2
phpcpd:PHP Copy/Paste Detector:vendor/bin/phpcpd app:127
phpcs:PHP CodeSniffer:vendor/bin/phpcs --standard=PSR12 app:1
pint:Laravel Pint:vendor/bin/pint --test:1
rector:Rector:vendor/bin/rector process --dry-run:127
php-cs-fixer:PHP CS Fixer:vendor/bin/php-cs-fixer fix --dry-run --diff:8
insights:PHP Insights:vendor/bin/phpinsights --no-interaction:1
phpstan:PHPStan Analysis:vendor/bin/phpstan analyse --memory-limit=2G:124
psalm:Psalm Analysis:vendor/bin/psalm --show-info=true:124
security-checker:Security Checker:composer audit:2
normalize:Composer Normalize:composer normalize --dry-run:1
unused:Unused Dependencies:composer unused:1
require-checker:Require Checker:vendor/bin/composer-require-checker check:127
infection:Infection Testing:vendor/bin/infection --min-msi=80:1
phpunit-coverage:PHPUnit Coverage:vendor/bin/phpunit --coverage-html reports/coverage:1
deptrac:Deptrac:vendor/bin/deptrac analyse:1
phpbench:PHPBench:vendor/bin/phpbench run --report=default:127
enlightn:Enlightn Security:vendor/bin/enlightn:127
enlightn-security:Enlightn Security Check:vendor/bin/enlightn --only=security:127
security-audit:Security Audit:composer audit:2
config-check:Configuration Security:php artisan config:show:1
unit-AccessControlListTest:Unit Test AccessControlListTest:vendor/bin/phpunit tests/Unit/AccessControlListTest.php:1
phpstan-security:PHPStan Security:vendor/bin/phpstan analyse --level=max:1
unit-AccessibilityTest:Unit Test AccessibilityTest:vendor/bin/phpunit tests/Unit/AccessibilityTest.php:1
unit-AccordionComponentTest:Unit Test AccordionComponentTest:vendor/bin/phpunit tests/Unit/AccordionComponentTest.php:1
unit-AccountLockoutTest:Unit Test AccountLockoutTest:vendor/bin/phpunit tests/Unit/AccountLockoutTest.php:1
unit-AccessControlTest:Unit Test AccessControlTest:vendor/bin/phpunit tests/Unit/AccessControlTest.php:1
unit-ActionAuthorizationTest:Unit Test ActionAuthorizationTest:vendor/bin/phpunit tests/Unit/ActionAuthorizationTest.php:1
unit-ActiveDirectoryAuthenticationTest:Unit Test ActiveDirectoryAuthenticationTest:vendor/bin/phpunit tests/Unit/ActiveDirectoryAuthenticationTest.php:1
unit-AggregateFunctionsTest:Unit Test AggregateFunctionsTest:vendor/bin/phpunit tests/Unit/AggregateFunctionsTest.php:1
unit-AlgorithmOptimizationTest:Unit Test AlgorithmOptimizationTest:vendor/bin/phpunit tests/Unit/AlgorithmOptimizationTest.php:1
unit-AnalyticsPageTest:Unit Test AnalyticsPageTest:vendor/bin/phpunit tests/Unit/AnalyticsPageTest.php:1
unit-ApiAuthorizationTest:Unit Test ApiAuthorizationTest:vendor/bin/phpunit tests/Unit/ApiAuthorizationTest.php:1
unit-ArabicLanguageTest:Unit Test ArabicLanguageTest:vendor/bin/phpunit tests/Unit/ArabicLanguageTest.php:1
unit-AssetLoadingSpeedTest:Unit Test AssetLoadingSpeedTest:vendor/bin/phpunit tests/Unit/AssetLoadingSpeedTest.php:1
unit-AssetOptimizationTest:Unit Test AssetOptimizationTest:vendor/bin/phpunit tests/Unit/AssetOptimizationTest.php:1
unit-ArrayValidationTest:Unit Test ArrayValidationTest:vendor/bin/phpunit tests/Unit/ArrayValidationTest.php:1
unit-ArrayCacheDriverTest:Unit Test ArrayCacheDriverTest:vendor/bin/phpunit tests/Unit/ArrayCacheDriverTest.php:1
unit-AuditLoggingTest:Unit Test AuditLoggingTest:vendor/bin/phpunit tests/Unit/AuditLoggingTest.php:1
unit-AuthenticationLoggingTest:Unit Test AuthenticationLoggingTest:vendor/bin/phpunit tests/Unit/AuthenticationLoggingTest.php:1
unit-AuthServiceTest:Unit Test AuthServiceTest:vendor/bin/phpunit tests/Unit/AuthServiceTest.php:1
unit-AutoLoginTest:Unit Test AutoLoginTest:vendor/bin/phpunit tests/Unit/AutoLoginTest.php:1
unit-BackupOperationsTest:Unit Test BackupOperationsTest:vendor/bin/phpunit tests/Unit/BackupOperationsTest.php:1
unit-BandwidthOptimizationTest:Unit Test BandwidthOptimizationTest:vendor/bin/phpunit tests/Unit/BandwidthOptimizationTest.php:1
unit-BackupPageTest:Unit Test BackupPageTest:vendor/bin/phpunit tests/Unit/BackupPageTest.php:1
unit-BaggingMethodsTest:Unit Test BaggingMethodsTest:vendor/bin/phpunit tests/Unit/BaggingMethodsTest.php:1
unit-BaselineTestingTest:Unit Test BaselineTestingTest:vendor/bin/phpunit tests/Unit/BaselineTestingTest.php:1
unit-BiometricAuthenticationTest:Unit Test BiometricAuthenticationTest:vendor/bin/phpunit tests/Unit/BiometricAuthenticationTest.php:1
unit-BenchmarkTestingTest:Unit Test BenchmarkTestingTest:vendor/bin/phpunit tests/Unit/BenchmarkTestingTest.php:1
unit-BooleanValidationTest:Unit Test BooleanValidationTest:vendor/bin/phpunit tests/Unit/BooleanValidationTest.php:1
unit-BroadcastAuthorizationTest:Unit Test BroadcastAuthorizationTest:vendor/bin/phpunit tests/Unit/BroadcastAuthorizationTest.php:1
unit-BoostingAlgorithmsTest:Unit Test BoostingAlgorithmsTest:vendor/bin/phpunit tests/Unit/BoostingAlgorithmsTest.php:1
unit-BroadcastingSystemTest:Unit Test BroadcastingSystemTest:vendor/bin/phpunit tests/Unit/BroadcastingSystemTest.php:1
unit-BroadcastServiceTest:Unit Test BroadcastServiceTest:vendor/bin/phpunit tests/Unit/BroadcastServiceTest.php:1
unit-BruteForceProtectionTest:Unit Test BruteForceProtectionTest:vendor/bin/phpunit tests/Unit/BruteForceProtectionTest.php:1
unit-BufferOverflowPreventionTest:Unit Test BufferOverflowPreventionTest:vendor/bin/phpunit tests/Unit/BufferOverflowPreventionTest.php:1
unit-CacheAuthorizationTest:Unit Test CacheAuthorizationTest:vendor/bin/phpunit tests/Unit/CacheAuthorizationTest.php:1
unit-ButtonActionsTest:Unit Test ButtonActionsTest:vendor/bin/phpunit tests/Unit/ButtonActionsTest.php:1
unit-CacheClearEndpointTest:Unit Test CacheClearEndpointTest:vendor/bin/phpunit tests/Unit/CacheClearEndpointTest.php:1
unit-CacheIntegrationTest:Unit Test CacheIntegrationTest:vendor/bin/phpunit tests/Unit/CacheIntegrationTest.php:1
unit-CachingStrategyTest:Unit Test CachingStrategyTest:vendor/bin/phpunit tests/Unit/CachingStrategyTest.php:1
unit-CacheOptimizationTest:Unit Test CacheOptimizationTest:vendor/bin/phpunit tests/Unit/CacheOptimizationTest.php:1
unit-CalendarPageTest:Unit Test CalendarPageTest:vendor/bin/phpunit tests/Unit/CalendarPageTest.php:1
unit-CalendarSystemLocalizationTest:Unit Test CalendarSystemLocalizationTest:vendor/bin/phpunit tests/Unit/CalendarSystemLocalizationTest.php:1
unit-CapacityPlanningTest:Unit Test CapacityPlanningTest:vendor/bin/phpunit tests/Unit/CapacityPlanningTest.php:1
unit-CertificateAuthenticationTest:Unit Test CertificateAuthenticationTest:vendor/bin/phpunit tests/Unit/CertificateAuthenticationTest.php:1
